"","15","45","65","85","85","263","22","84","84","104","104","105","203","23","165","16","24","66","67","68","83","83","144","166","184","204","229","265","266","29","46","49","73","74","86","86","107","108","108","109","109","126","145","146","150","167","168","185","191","207","208","209","210","226","244","248","264","286"
"X15",0,8.43297183851866,0.187999999999578,0,0,-0.701104604206979,-11.7657080080056,-5.51671934096926,-5.51671934096926,-9.57946506083086,-9.57946506083086,-9.57946506083086,-8.60980757184065,-14.0622032971939,-14.9246479092048,-16.1662108983219,-12.6134576842976,-13.3285157403168,-16.1662108983219,-24.0694765024761,-16.0081396069879,-16.0081396069879,-15.9244988720741,-18.7049337738796,-22.4897669088543,-14.2461125804736,-23.9304765024762,-20.2163272486921,-23.2454765024762,-51.2482320624334,-27.2175379027111,-57.7027738777975,-51.4132320624334,-51.4132320624334,-42.3501296945935,-42.3501296945935,-42.6097346840086,-44.5566338149137,-44.5566338149137,-51.6402320624337,-51.6402320624337,-55.7892840096392,-31.3008302540121,-45.4860746741014,-62.0126874471387,-35.0051953632412,-44.5566338149137,-34.7036957484497,-51.6402320624337,-38.92148388751,-52.7617076718069,-49.6900798175555,-43.2706678300079,-51.8367905036606,-25.8889545081037,-57.3664926964285,-24.2561149833631,-44.3917516098239
"X45",-8.43297183851866,0,-8.24497183851909,-8.43297183851866,-8.43297183851866,-9.13407644272564,-20.1986798465242,-13.9496911794879,-13.9496911794879,-18.0124368993495,-18.0124368993495,-18.0124368993495,-17.0427794103593,-22.4951751357125,-23.3576197477234,-24.5991827368405,-21.0464295228163,-21.7614875788354,-24.5991827368405,-32.5024483409947,-24.4411114455066,-24.4411114455066,-24.3574707105928,-27.1379056123983,-30.9227387473729,-22.6790844189923,-32.3634483409948,-28.6492990872108,-31.6784483409949,-59.6812039009521,-35.6505097412298,-66.1357457163161,-59.8462039009521,-59.8462039009521,-50.7831015331122,-50.7831015331122,-51.0427065225273,-52.9896056534323,-52.9896056534323,-60.0732039009524,-60.0732039009524,-64.2222558481578,-39.7338020925308,-53.91904651262,-70.4456592856574,-43.4381672017599,-52.9896056534323,-43.1366675869683,-60.0732039009524,-47.3544557260286,-61.1946795103256,-58.1230516560742,-51.7036396685266,-60.2697623421793,-34.3219263466224,-65.7994645349472,-32.6890868218818,-52.8247234483426
"X65",-0.187999999999578,8.24497183851909,0,-0.187999999999578,-0.187999999999578,-0.889104604206557,-11.9537080080051,-5.70471934096884,-5.70471934096884,-9.76746506083044,-9.76746506083044,-9.76746506083044,-8.79780757184023,-14.2502032971935,-15.1126479092043,-16.3542108983214,-12.8014576842972,-13.5165157403164,-16.3542108983214,-24.2574765024756,-16.1961396069875,-16.1961396069875,-16.1124988720737,-18.8929337738792,-22.6777669088538,-14.4341125804732,-24.1184765024757,-20.4043272486917,-23.4334765024758,-51.436232062433,-27.4055379027107,-57.8907738777971,-51.601232062433,-51.601232062433,-42.5381296945931,-42.5381296945931,-42.7977346840082,-44.7446338149133,-44.7446338149133,-51.8282320624333,-51.8282320624333,-55.9772840096388,-31.4888302540117,-45.6740746741009,-62.2006874471383,-35.1931953632408,-44.7446338149133,-34.8916957484493,-51.8282320624333,-39.1094838875096,-52.9497076718065,-49.8780798175551,-43.4586678300075,-52.0247905036602,-26.0769545081033,-57.5544926964281,-24.4441149833627,-44.5797516098235
"X85",0,8.43297183851866,0.187999999999578,0,0,-0.701104604206979,-11.7657080080056,-5.51671934096926,-5.51671934096926,-9.57946506083086,-9.57946506083086,-9.57946506083086,-8.60980757184065,-14.0622032971939,-14.9246479092048,-16.1662108983219,-12.6134576842976,-13.3285157403168,-16.1662108983219,-24.0694765024761,-16.0081396069879,-16.0081396069879,-15.9244988720741,-18.7049337738796,-22.4897669088543,-14.2461125804736,-23.9304765024762,-20.2163272486921,-23.2454765024762,-51.2482320624334,-27.2175379027111,-57.7027738777975,-51.4132320624334,-51.4132320624334,-42.3501296945935,-42.3501296945935,-42.6097346840086,-44.5566338149137,-44.5566338149137,-51.6402320624337,-51.6402320624337,-55.7892840096392,-31.3008302540121,-45.4860746741014,-62.0126874471387,-35.0051953632412,-44.5566338149137,-34.7036957484497,-51.6402320624337,-38.92148388751,-52.7617076718069,-49.6900798175555,-43.2706678300079,-51.8367905036606,-25.8889545081037,-57.3664926964285,-24.2561149833631,-44.3917516098239
"X85.1",0,8.43297183851866,0.187999999999578,0,0,-0.701104604206979,-11.7657080080056,-5.51671934096926,-5.51671934096926,-9.57946506083086,-9.57946506083086,-9.57946506083086,-8.60980757184065,-14.0622032971939,-14.9246479092048,-16.1662108983219,-12.6134576842976,-13.3285157403168,-16.1662108983219,-24.0694765024761,-16.0081396069879,-16.0081396069879,-15.9244988720741,-18.7049337738796,-22.4897669088543,-14.2461125804736,-23.9304765024762,-20.2163272486921,-23.2454765024762,-51.2482320624334,-27.2175379027111,-57.7027738777975,-51.4132320624334,-51.4132320624334,-42.3501296945935,-42.3501296945935,-42.6097346840086,-44.5566338149137,-44.5566338149137,-51.6402320624337,-51.6402320624337,-55.7892840096392,-31.3008302540121,-45.4860746741014,-62.0126874471387,-35.0051953632412,-44.5566338149137,-34.7036957484497,-51.6402320624337,-38.92148388751,-52.7617076718069,-49.6900798175555,-43.2706678300079,-51.8367905036606,-25.8889545081037,-57.3664926964285,-24.2561149833631,-44.3917516098239
"X263",0.701104604206979,9.13407644272564,0.889104604206557,0.701104604206979,0.701104604206979,0,-11.0646034037986,-4.81561473676228,-4.81561473676228,-8.87836045662388,-8.87836045662388,-8.87836045662388,-7.90870296763367,-13.3610986929869,-14.2235433049978,-15.4651062941149,-11.9123530800906,-12.6274111361098,-15.4651062941149,-23.3683718982691,-15.307035002781,-15.307035002781,-15.2233942678671,-18.0038291696727,-21.7886623046473,-13.5450079762666,-23.2293718982692,-19.5152226444852,-22.5443718982692,-50.5471274582265,-26.5164332985041,-57.0016692735905,-50.7121274582265,-50.7121274582265,-41.6490250903865,-41.6490250903865,-41.9086300798017,-43.8555292107067,-43.8555292107067,-50.9391274582267,-50.9391274582267,-55.0881794054322,-30.5997256498051,-44.7849700698944,-61.3115828429317,-34.3040907590342,-43.8555292107067,-34.0025911442427,-50.9391274582267,-38.220379283303,-52.0606030675999,-48.9889752133485,-42.5695632258009,-51.1356858994536,-25.1878499038967,-56.6653880922216,-23.5550103791561,-43.6906470056169
"X22",11.7657080080056,20.1986798465242,11.9537080080051,11.7657080080056,11.7657080080056,11.0646034037986,0,6.2489886670363,6.2489886670363,2.1862429471747,2.1862429471747,2.1862429471747,3.15590043616491,-2.29649528918832,-3.1589399011992,-4.4005028903163,-0.847749676292064,-1.56280773231122,-4.4005028903163,-12.3037684944705,-4.24243159898238,-4.24243159898238,-4.15879086406853,-6.93922576587409,-10.7240589008487,-2.48040457246803,-12.1647684944706,-8.45061924068657,-11.4797684944707,-39.4825240544279,-15.4518298947056,-45.9370658697919,-39.6475240544279,-39.6475240544279,-30.5844216865879,-30.5844216865879,-30.8440266760031,-32.7909258069081,-32.7909258069081,-39.8745240544281,-39.8745240544281,-44.0235760016336,-19.5351222460065,-33.7203666660958,-50.2469794391331,-23.2394873552356,-32.7909258069081,-22.9379877404441,-39.8745240544281,-27.1557758795044,-40.9959996638014,-37.92437180955,-31.5049598220024,-40.0710824956551,-14.1232465000981,-45.600784688423,-12.4904069753576,-32.6260436018184
"X84",5.51671934096926,13.9496911794879,5.70471934096884,5.51671934096926,5.51671934096926,4.81561473676228,-6.2489886670363,0,0,-4.0627457198616,-4.0627457198616,-4.0627457198616,-3.09308823087138,-8.54548395622462,-9.4079285682355,-10.6494915573526,-7.09673834332836,-7.81179639934751,-10.6494915573526,-18.5527571615068,-10.4914202660187,-10.4914202660187,-10.4077795311048,-13.1882144329104,-16.973047567885,-8.72939323950432,-18.4137571615069,-14.6996079077229,-17.728757161507,-45.7315127214642,-21.7008185617418,-52.1860545368282,-45.8965127214642,-45.8965127214642,-36.8334103536242,-36.8334103536242,-37.0930153430394,-39.0399144739444,-39.0399144739444,-46.1235127214644,-46.1235127214644,-50.2725646686699,-25.7841109130428,-39.9693553331321,-56.4959681061694,-29.4884760222719,-39.0399144739444,-29.1869764074804,-46.1235127214644,-33.4047645465407,-47.2449883308377,-44.1733604765862,-37.7539484890387,-46.3200711626914,-20.3722351671344,-51.8497733554593,-18.7393956423939,-38.8750322688547
"X84.1",5.51671934096926,13.9496911794879,5.70471934096884,5.51671934096926,5.51671934096926,4.81561473676228,-6.2489886670363,0,0,-4.0627457198616,-4.0627457198616,-4.0627457198616,-3.09308823087138,-8.54548395622462,-9.4079285682355,-10.6494915573526,-7.09673834332836,-7.81179639934751,-10.6494915573526,-18.5527571615068,-10.4914202660187,-10.4914202660187,-10.4077795311048,-13.1882144329104,-16.973047567885,-8.72939323950432,-18.4137571615069,-14.6996079077229,-17.728757161507,-45.7315127214642,-21.7008185617418,-52.1860545368282,-45.8965127214642,-45.8965127214642,-36.8334103536242,-36.8334103536242,-37.0930153430394,-39.0399144739444,-39.0399144739444,-46.1235127214644,-46.1235127214644,-50.2725646686699,-25.7841109130428,-39.9693553331321,-56.4959681061694,-29.4884760222719,-39.0399144739444,-29.1869764074804,-46.1235127214644,-33.4047645465407,-47.2449883308377,-44.1733604765862,-37.7539484890387,-46.3200711626914,-20.3722351671344,-51.8497733554593,-18.7393956423939,-38.8750322688547
"X104",9.57946506083086,18.0124368993495,9.76746506083044,9.57946506083086,9.57946506083086,8.87836045662388,-2.1862429471747,4.0627457198616,4.0627457198616,0,0,0,0.969657488990211,-4.48273823636302,-5.3451828483739,-6.58674583749101,-3.03399262346677,-3.74905067948592,-6.58674583749101,-14.4900114416452,-6.42867454615708,-6.42867454615708,-6.34503381124323,-9.12546871304879,-12.9103018480234,-4.66664751964273,-14.3510114416453,-10.6368621878613,-13.6660114416454,-41.6687670016026,-17.6380728418803,-48.1233088169666,-41.8337670016026,-41.8337670016026,-32.7706646337626,-32.7706646337626,-33.0302696231778,-34.9771687540828,-34.9771687540828,-42.0607670016028,-42.0607670016028,-46.2098189488083,-21.7213651931812,-35.9066096132705,-52.4332223863078,-25.4257303024104,-34.9771687540828,-25.1242306876188,-42.0607670016028,-29.3420188266791,-43.1822426109761,-40.1106147567247,-33.6912027691771,-42.2573254428298,-16.3094894472728,-47.7870276355977,-14.6766499225323,-34.8122865489931
"X104.1",9.57946506083086,18.0124368993495,9.76746506083044,9.57946506083086,9.57946506083086,8.87836045662388,-2.1862429471747,4.0627457198616,4.0627457198616,0,0,0,0.969657488990211,-4.48273823636302,-5.3451828483739,-6.58674583749101,-3.03399262346677,-3.74905067948592,-6.58674583749101,-14.4900114416452,-6.42867454615708,-6.42867454615708,-6.34503381124323,-9.12546871304879,-12.9103018480234,-4.66664751964273,-14.3510114416453,-10.6368621878613,-13.6660114416454,-41.6687670016026,-17.6380728418803,-48.1233088169666,-41.8337670016026,-41.8337670016026,-32.7706646337626,-32.7706646337626,-33.0302696231778,-34.9771687540828,-34.9771687540828,-42.0607670016028,-42.0607670016028,-46.2098189488083,-21.7213651931812,-35.9066096132705,-52.4332223863078,-25.4257303024104,-34.9771687540828,-25.1242306876188,-42.0607670016028,-29.3420188266791,-43.1822426109761,-40.1106147567247,-33.6912027691771,-42.2573254428298,-16.3094894472728,-47.7870276355977,-14.6766499225323,-34.8122865489931
"X105",9.57946506083086,18.0124368993495,9.76746506083044,9.57946506083086,9.57946506083086,8.87836045662388,-2.1862429471747,4.0627457198616,4.0627457198616,0,0,0,0.969657488990211,-4.48273823636302,-5.3451828483739,-6.58674583749101,-3.03399262346677,-3.74905067948592,-6.58674583749101,-14.4900114416452,-6.42867454615708,-6.42867454615708,-6.34503381124323,-9.12546871304879,-12.9103018480234,-4.66664751964273,-14.3510114416453,-10.6368621878613,-13.6660114416454,-41.6687670016026,-17.6380728418803,-48.1233088169666,-41.8337670016026,-41.8337670016026,-32.7706646337626,-32.7706646337626,-33.0302696231778,-34.9771687540828,-34.9771687540828,-42.0607670016028,-42.0607670016028,-46.2098189488083,-21.7213651931812,-35.9066096132705,-52.4332223863078,-25.4257303024104,-34.9771687540828,-25.1242306876188,-42.0607670016028,-29.3420188266791,-43.1822426109761,-40.1106147567247,-33.6912027691771,-42.2573254428298,-16.3094894472728,-47.7870276355977,-14.6766499225323,-34.8122865489931
"X203",8.60980757184065,17.0427794103593,8.79780757184023,8.60980757184065,8.60980757184065,7.90870296763367,-3.15590043616491,3.09308823087138,3.09308823087138,-0.969657488990211,-0.969657488990211,-0.969657488990211,0,-5.45239572535324,-6.31484033736411,-7.55640332648122,-4.00365011245698,-4.71870816847613,-7.55640332648122,-15.4596689306354,-7.39833203514729,-7.39833203514729,-7.31469130023344,-10.095126202039,-13.8799593370136,-5.63630500863294,-15.3206689306355,-11.6065196768515,-14.6356689306356,-42.6384244905928,-18.6077303308705,-49.0929663059568,-42.8034244905928,-42.8034244905928,-33.7403221227529,-33.7403221227529,-33.999927112168,-35.946826243073,-35.946826243073,-43.030424490593,-43.030424490593,-47.1794764377985,-22.6910226821715,-36.8762671022607,-53.402879875298,-26.3953877914006,-35.946826243073,-26.093888176609,-43.030424490593,-30.3116763156693,-44.1519000999663,-41.0802722457149,-34.6608602581673,-43.22698293182,-17.279146936263,-48.7566851245879,-15.6463074115225,-35.7819440379833
"X23",14.0622032971939,22.4951751357125,14.2502032971935,14.0622032971939,14.0622032971939,13.3610986929869,2.29649528918832,8.54548395622462,8.54548395622462,4.48273823636302,4.48273823636302,4.48273823636302,5.45239572535324,0,-0.862444612010877,-2.10400760112798,1.44874561289626,0.733687556877107,-2.10400760112798,-10.0072732052822,-1.94593630979406,-1.94593630979406,-1.86229557488021,-4.64273047668576,-8.42756361166039,-0.183909283279703,-9.86827320528228,-6.15412395149825,-9.18327320528234,-37.1860287652396,-13.1553346055172,-43.6405705806036,-37.3510287652396,-37.3510287652396,-28.2879263973996,-28.2879263973996,-28.5475313868148,-30.4944305177198,-30.4944305177198,-37.5780287652398,-37.5780287652398,-41.7270807124453,-17.2386269568182,-31.4238713769075,-47.9504841499448,-20.9429920660473,-30.4944305177198,-20.6414924512558,-37.5780287652398,-24.8592805903161,-38.699504374613,-35.6278765203616,-29.208464532814,-37.7745872064667,-11.8267512109098,-43.3042893992346,-10.1939116861692,-30.32954831263
"X165",14.9246479092048,23.3576197477234,15.1126479092043,14.9246479092048,14.9246479092048,14.2235433049978,3.1589399011992,9.4079285682355,9.4079285682355,5.3451828483739,5.3451828483739,5.3451828483739,6.31484033736411,0.862444612010877,0,-1.2415629891171,2.31119022490714,1.59613216888798,-1.2415629891171,-9.1448285932713,-1.08349169778318,-1.08349169778318,-0.999850962869328,-3.78028586467489,-7.56511899964951,0.678535328731174,-9.0058285932714,-5.29167933948737,-8.32082859327146,-36.3235841532287,-12.2928899935064,-42.7781259685927,-36.4885841532287,-36.4885841532287,-27.4254817853888,-27.4254817853888,-27.6850867748039,-29.6319859057089,-29.6319859057089,-36.7155841532289,-36.7155841532289,-40.8646361004344,-16.3761823448073,-30.5614267648966,-47.0880395379339,-20.0805474540364,-29.6319859057089,-19.7790478392449,-36.7155841532289,-23.9968359783052,-37.8370597626022,-34.7654319083507,-28.3460199208032,-36.9121425944559,-10.9643065988989,-42.4418447872238,-9.33146707415835,-29.4671037006192
"X16",16.1662108983219,24.5991827368405,16.3542108983214,16.1662108983219,16.1662108983219,15.4651062941149,4.4005028903163,10.6494915573526,10.6494915573526,6.58674583749101,6.58674583749101,6.58674583749101,7.55640332648122,2.10400760112798,1.2415629891171,0,3.55275321402424,2.83769515800509,0,-7.9032656041542,0.158071291333923,0.158071291333923,0.241712026247777,-2.53872287555778,-6.3235560105324,1.92009831784828,-7.76426560415429,-4.05011635037027,-7.07926560415436,-35.0820211641116,-11.0513270043892,-41.5365629794756,-35.2470211641116,-35.2470211641116,-26.1839187962716,-26.1839187962716,-26.4435237856868,-28.3904229165918,-28.3904229165918,-35.4740211641118,-35.4740211641118,-39.6230731113173,-15.1346193556902,-29.3198637757795,-45.8464765488168,-18.8389844649193,-28.3904229165918,-18.5374848501278,-35.4740211641118,-22.7552729891881,-36.5954967734851,-33.5238689192336,-27.1044569316861,-35.6705796053388,-9.72274360978183,-41.2002817981067,-8.08990408504125,-28.2255407115021
"X24",12.6134576842976,21.0464295228163,12.8014576842972,12.6134576842976,12.6134576842976,11.9123530800906,0.847749676292064,7.09673834332836,7.09673834332836,3.03399262346677,3.03399262346677,3.03399262346677,4.00365011245698,-1.44874561289626,-2.31119022490714,-3.55275321402424,0,-0.715058056019152,-3.55275321402424,-11.4560188181784,-3.39468192269032,-3.39468192269032,-3.31104118777646,-6.09147608958202,-9.87630922455664,-1.63265489617596,-11.3170188181785,-7.60286956439451,-10.6320188181786,-38.6347743781358,-14.6040802184135,-45.0893161934998,-38.7997743781358,-38.7997743781358,-29.7366720102959,-29.7366720102959,-29.996276999711,-31.943176130616,-31.943176130616,-39.0267743781361,-39.0267743781361,-43.1758263253415,-18.6873725697145,-32.8726169898037,-49.3992297628411,-22.3917376789436,-31.943176130616,-22.0902380641521,-39.0267743781361,-26.3080262032124,-40.1482499875093,-37.0766221332579,-30.6572101457103,-39.223332819363,-13.2754968238061,-44.7530350121309,-11.6426572990655,-31.7782939255263
"X66",13.3285157403168,21.7614875788354,13.5165157403164,13.3285157403168,13.3285157403168,12.6274111361098,1.56280773231122,7.81179639934751,7.81179639934751,3.74905067948592,3.74905067948592,3.74905067948592,4.71870816847613,-0.733687556877107,-1.59613216888798,-2.83769515800509,0.715058056019152,0,-2.83769515800509,-10.7409607621593,-2.67962386667117,-2.67962386667117,-2.59598313175731,-5.37641803356287,-9.16125116853749,-0.91759684015681,-10.6019607621594,-6.88781150837536,-9.91696076215945,-37.9197163221167,-13.8890221623943,-44.3742581374807,-38.0847163221167,-38.0847163221167,-29.0216139542767,-29.0216139542767,-29.2812189436919,-31.2281180745969,-31.2281180745969,-38.3117163221169,-38.3117163221169,-42.4607682693224,-17.9723145136953,-32.1575589337846,-48.6841717068219,-21.6766796229244,-31.2281180745969,-21.3751800081329,-38.3117163221169,-25.5929681471932,-39.4331919314901,-36.3615640772387,-29.9421520896911,-38.5082747633438,-12.5604387677869,-44.0379769561118,-10.9275992430463,-31.0632358695071
"X67",16.1662108983219,24.5991827368405,16.3542108983214,16.1662108983219,16.1662108983219,15.4651062941149,4.4005028903163,10.6494915573526,10.6494915573526,6.58674583749101,6.58674583749101,6.58674583749101,7.55640332648122,2.10400760112798,1.2415629891171,0,3.55275321402424,2.83769515800509,0,-7.9032656041542,0.158071291333923,0.158071291333923,0.241712026247777,-2.53872287555778,-6.3235560105324,1.92009831784828,-7.76426560415429,-4.05011635037027,-7.07926560415436,-35.0820211641116,-11.0513270043892,-41.5365629794756,-35.2470211641116,-35.2470211641116,-26.1839187962716,-26.1839187962716,-26.4435237856868,-28.3904229165918,-28.3904229165918,-35.4740211641118,-35.4740211641118,-39.6230731113173,-15.1346193556902,-29.3198637757795,-45.8464765488168,-18.8389844649193,-28.3904229165918,-18.5374848501278,-35.4740211641118,-22.7552729891881,-36.5954967734851,-33.5238689192336,-27.1044569316861,-35.6705796053388,-9.72274360978183,-41.2002817981067,-8.08990408504125,-28.2255407115021
"X68",24.0694765024761,32.5024483409947,24.2574765024756,24.0694765024761,24.0694765024761,23.3683718982691,12.3037684944705,18.5527571615068,18.5527571615068,14.4900114416452,14.4900114416452,14.4900114416452,15.4596689306354,10.0072732052822,9.1448285932713,7.9032656041542,11.4560188181784,10.7409607621593,7.9032656041542,0,8.06133689548812,8.06133689548812,8.14497763040198,5.36454272859642,1.5797095936218,9.82336392200248,0.138999999999905,3.85314925378393,0.82399999999984,-27.1787555599574,-3.14806140023505,-33.6332973753214,-27.3437555599574,-27.3437555599574,-18.2806531921174,-18.2806531921174,-18.5402581815326,-20.4871573124376,-20.4871573124376,-27.5707555599576,-27.5707555599576,-31.7198075071631,-7.23135375153604,-21.4165981716253,-37.9432109446626,-10.9357188607651,-20.4871573124376,-10.6342192459736,-27.5707555599576,-14.8520073850339,-28.6922311693309,-25.6206033150794,-19.2011913275319,-27.7673140011846,-1.81947800562763,-33.2970161939525,-0.18663848088705,-20.3222751073479
"X83",16.0081396069879,24.4411114455066,16.1961396069875,16.0081396069879,16.0081396069879,15.307035002781,4.24243159898238,10.4914202660187,10.4914202660187,6.42867454615708,6.42867454615708,6.42867454615708,7.39833203514729,1.94593630979406,1.08349169778318,-0.158071291333923,3.39468192269032,2.67962386667117,-0.158071291333923,-8.06133689548812,0,0,0.0836407349138535,-2.6967941668917,-6.48162730186633,1.76202702651436,-7.92233689548822,-4.20818764170419,-7.23733689548828,-35.2400924554455,-11.2093982957232,-41.6946342708095,-35.4050924554455,-35.4050924554455,-26.3419900876056,-26.3419900876056,-26.6015950770207,-28.5484942079257,-28.5484942079257,-35.6320924554458,-35.6320924554458,-39.7811444026512,-15.2926906470242,-29.4779350671134,-46.0045478401507,-18.9970557562533,-28.5484942079257,-18.6955561414617,-35.6320924554458,-22.913344280522,-36.753568064819,-33.6819402105676,-27.26252822302,-35.8286508966727,-9.88081490111575,-41.3583530894406,-8.24797537637517,-28.383612002836
"X83.1",16.0081396069879,24.4411114455066,16.1961396069875,16.0081396069879,16.0081396069879,15.307035002781,4.24243159898238,10.4914202660187,10.4914202660187,6.42867454615708,6.42867454615708,6.42867454615708,7.39833203514729,1.94593630979406,1.08349169778318,-0.158071291333923,3.39468192269032,2.67962386667117,-0.158071291333923,-8.06133689548812,0,0,0.0836407349138535,-2.6967941668917,-6.48162730186633,1.76202702651436,-7.92233689548822,-4.20818764170419,-7.23733689548828,-35.2400924554455,-11.2093982957232,-41.6946342708095,-35.4050924554455,-35.4050924554455,-26.3419900876056,-26.3419900876056,-26.6015950770207,-28.5484942079257,-28.5484942079257,-35.6320924554458,-35.6320924554458,-39.7811444026512,-15.2926906470242,-29.4779350671134,-46.0045478401507,-18.9970557562533,-28.5484942079257,-18.6955561414617,-35.6320924554458,-22.913344280522,-36.753568064819,-33.6819402105676,-27.26252822302,-35.8286508966727,-9.88081490111575,-41.3583530894406,-8.24797537637517,-28.383612002836
"X144",15.9244988720741,24.3574707105928,16.1124988720737,15.9244988720741,15.9244988720741,15.2233942678671,4.15879086406853,10.4077795311048,10.4077795311048,6.34503381124323,6.34503381124323,6.34503381124323,7.31469130023344,1.86229557488021,0.999850962869328,-0.241712026247777,3.31104118777646,2.59598313175731,-0.241712026247777,-8.14497763040198,-0.0836407349138535,-0.0836407349138535,0,-2.78043490180556,-6.56526803678018,1.6783862916005,-8.00597763040207,-4.29182837661805,-7.32097763040214,-35.3237331903594,-11.293039030637,-41.7782750057234,-35.4887331903594,-35.4887331903594,-26.4256308225194,-26.4256308225194,-26.6852358119345,-28.6321349428396,-28.6321349428396,-35.7157331903596,-35.7157331903596,-39.8647851375651,-15.376331381938,-29.5615758020273,-46.0881885750646,-19.0806964911671,-28.6321349428396,-18.7791968763756,-35.7157331903596,-22.9969850154359,-36.8372087997328,-33.7655809454814,-27.3461689579338,-35.9122916315865,-9.96445563602961,-41.4419938243544,-8.33161611128903,-28.4672527377498
